insect_order;insect_family;insect_species;species_authors;species_authors_galls;sampling_year;host_plant_adjusted_scientific_name;host_plant_paper_original_scientific_name;host_plant_family;site_states;site_municipality;study_location;vegetation_type;complete_references;additional_references
Diptera;Cecidomyiidae;Bruggmannia depressa (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;"Minas Gerais; Rio de Janeiro";"not determined (MG); Teresópolis, Rio de Janeiro";;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1077";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Bruggmannia globulifex (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;Rio de Janeiro;Serra dos Órgãos;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1079; Maia, V.C.. 2024. Gall-inducing insects from the Maricá Environmental Protection Area (RJ, Southeastern Brazil). Revista Brasileira de Entomologia 68(2):e20230086 ";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Bruggmannia lignicola (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;Rio de Janeiro;Serra do Macaé;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1080";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Bruggmannia longicauda (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;Rio de Janeiro;Rio de Janeiro;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1081";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Bruggmannia micrura (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;Santa Catarina;unstated municipality;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1082";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Bruggmannia neeana (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;Rio de Janeiro;Rio de Janeiro;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1084";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Bruggmannia ruebsaameni (Kieffer, 1913);Kieffer, 1913;Ule;1910;Neea sp. ;Neea sp. ;Nyctaginaceae;Santa Catarina;Pedras Grandes;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1086";Kieffer, J.J. 1913. Diptera. Fam. Cecidomyidae. Fasc. 152. Wytsman, P., ed., Genera Insectorum. Bruxelles.
Diptera;Cecidomyiidae;Dasineura tavaresi Maia, 1996;Maia, 1996;Maia, Carvalho-Fernandes et al.;"1987, 1990, 1992, 1993, 1998; 2011-2012";Neomitranthes obscura (DC.) N. Silveira;Neomitranthes obscura (DC.) N. Silveira;Myrtaceae;Rio de Janeiro;Maricá, Carapebus, Araruama, Arraial do Cabo, Cabo Frio, Saquarema;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1140";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. Maia, V.C. 1996b. Três espécias novas de Dasineura Rondani (Diptera, Cecidomyiidae) associadas a Myrtaceae, na restinga de Barra de Maricá, Rio de Janeiro. Revista Brasileira de Zoologia 12: 1001–1008.
Diptera;Cecidomyiidae;Neomitranthella robusta Maia, 1995;Maia, 1995;Maia, Carvalho-Fernandes et al.;"1987, 1990, 1992, 1993, 1998; 2011-2012";Neomitranthes obscura (DC.) N. Silveira;Neomitranthes obscura (DC.) N. Silveira;Myrtaceae;Rio de Janeiro;Araruama, Arraial do Cabo, Cabo Frio, Carapebus, Macaé, Maricá, Saquarema;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1207";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. 
Diptera;Cecidomyiidae;Stephomyia mina Maia, 1993;Maia, 1993;Maia, Carvalho-Fernandes et al.;"1987, 1990, 1992, 1993, 1998; 2011-2012";Neomitranthes obscura (DC.) N. Silveira;Neomitranthes obscura (DC.) N. Silveira;Myrtaceae;Rio de Janeiro;Araruama, Arraial do Cabo, Carapebus, Maricá;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1244";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. 
Diptera;Cecidomyiidae;Dactylodiplosis petibarum Maia, 2021;Maia, 2021;Maia;2020;Ocotea pulchella (Nees & Mart.) Mez ;Ocotea pulchela (Nees & Mart.) Mez ;Lauraceae;"Rio de Janeiro; Minas Gerais; Bahia";Macaé;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1130";NE
Diptera;Cecidomyiidae;Lopesia brasiliensis Rübsaamen, 1908;Rübsaamen, 1908;NA;NA;Ossaea sp. ;Ossaea sp. ;Melastomataceae;Rio de Janeiro;Fábrica;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1168";Rübsaamen, E.H. 1908. Beitrage zur Kenntnis aussereuropäischer Zoocecidien. III. Beitrag: Gallen aus Brasilien und Peru. Marcellia 6:110-173.
Diptera;Cecidomyiidae;Cerciplanus maricaensis Maia, 2022;Maia, 2022;Maia;1992;Ouratea cuspidata (St. Hil.) Engl.;Ouratea cuspidata (St. Hil.) Engl.;Ochnaceae;Rio de Janeiro;Maricá, Rio de Janeiro;;Atlantic Forest, Amazon Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1100";Maia, V.C. 2024. Gall-inducing insects from the Maricá Environmental Protection Area (RJ, Southeastern Brazil). Revista Brasileira de Entomologia 68(2):e20230086
Diptera;Cecidomyiidae;Cleitodiplosis graminis (Tavares, 1916);Tavares, 1916;Tavares;1911;Paspalum conjugatum P. J. Bergius;Paspalum conjugatum P. J. Bergius;Poaceae;"Bahia; Rio de Janeiro";unstated municipality;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado, Pantanal, Pampa;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1101";Tavares, J.S. 1916. Cecidomyias novas do Brazil. Brotéria, Ser. Zool. 14:36-57. 
