insect_order;insect_family;insect_species;species_authors;species_authors_galls;sampling_year;host_plant_adjusted_scientific_name;host_plant_paper_original_scientific_name;host_plant_family;site_states;site_municipality;study_location;vegetation_type;complete_references;additional_references
Diptera;Cecidomyiidae;Clinodiplosis costai Maia, 2005;Maia, 2005;Maia, Carvalho-Fernandes et al.;"1998; 2011-2012";Paullinia weinmanniifolia Mart.;Paullinia weinmanniifolia Mart.;Sapindaceae;"Rio de Janeiro; São Paulo";"Maricá, Carapebus, Arraial do Cabo; Bertioga";;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1107";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. 
Diptera;Cecidomyiidae;Paulliniamyia ampla Maia, 2001;Maia, 2001;Maia, Carvalho-Fernandes et al.;"1998; 2011-2012";Paullinia weinmanniifolia Mart.;Paullinia weinmanniifolia Mart.;Sapindaceae;Rio de Janeiro;Maricá, Carapebus, Araruama, Arraial do Cabo, Cabo Frio, Saquarema, São João da Barra, São Francisco de Itabapoana;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1216";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. 
Diptera;Cecidomyiidae;Asphondylia peploniae Maia, 2001;Maia, 2001;Maia;1998-1999;Peplonia asteria (Vell.) Fontella & E. A. Schwarz;Peplonia asteria (Vell.) Fontella & E. A. Schwarz;Asclepiadaceae;Rio de Janeiro;Carapebus;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1063";Maia, V.C. 2001a. New genera and species of gall midges (Diptera, Cecidomyiidae) from three restingas of Rio de Janeiro State, Brazil. Revista Brasileira de Zoologia 18 (Suppl. 1): 1–32.
Diptera;Cecidomyiidae;Liodiplosis cylindrica Gagné, 2001;Gagné, 2001;Arriola & Mello Jr.;2015-2017;Phillodendron surinamense (Miq.) Engl.;Phillodendron surinamense (Miq.) Schott.;Araceae;Santa Catarina;São Francisco do Sul;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1165";Arriola, I.B., Melo-Júnior, J.C.F, Mouga, D.M.D, Isaias, R.M.S, Costa, E.C. 2016. Where host plant goes, galls go too: new records of the Neotropical galling Cecidomyiidae (Diptera) associated with Calophyllum brasiliense Cambess. (Calophyllaceae). Check List 12:1924.
Diptera;Cecidomyiidae;Neolasioptera ramicola Maia, 2009;Maia, 2009;Maia;NA;Physalis angulata L.;Physalis angulata L.;Solanaceae;Rio Grande do Sul;Bento Gonçalves;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado, Pantanal;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1206";NE
Diptera;Cecidomyiidae;Zalepidota piperis Rübsaamen, 1908;Rübsaamen, 1908;NA;NA;Piper sp.;Piper sp.;Piperaceae;Rio de Janeiro;Rio de Janeiro;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1257";Rübsaamen, E.H. 1908. Beitrage zur Kenntnis aussereuropäischer Zoocecidien. III. Beitrag: Gallen aus Brasilien und Peru. Marcellia 6:110-173.
Diptera;Cecidomyiidae;Lopesia pleromatis Maia, 2022 ;Maia, 2022;Maia ;2004-2005;Pleroma raddianum (DC.) Gardner ;Pleroma raddianum (DC.) Gardner ;Melastomataceae;São Paulo;Bertioga;;Atlantic Forest; Maia, V.C.2022. A New species of gall midge (Diptera, Cecidomyiidae) associated with Pleroma raddianum (DC.) Gardner (Melastomataceae), an endemic plant to Brazil. Pap. Avulsos Zool. 62:e202262062 http://doi.org/10.11606/1807-0205/2022.62.062;NE
Diptera;Cecidomyiidae;Zalepidota ituensis (Tavares, 1917);Tavares, 1917;Tavares;1911- 1912;Porophyllum sp.;Porophyllum sp.;Asteraceae;São Paulo;Salto de Itu;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1256";Tavares, J.S. 1917. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Diptera;Cecidomyiidae;Trotteria quadridentata Maia, 2001;Maia, 2001;Maia;1998;Pouteria caimito (Ruiz & Pav.) Radlk;Pouteria caimito (Ruiz & Pav.) Radlk;Sapotaceae;Rio de Janeiro;Maricá, Arraial do Cabo, Carapebus, Grumari;;Atlantic Forest, Amazon Forest, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1253";NE
Diptera;Cecidomyiidae;Youngomyia pouteriae Maia, 2001;Maia, 2001;Maia, Carvalho-Fernandes et al.;"1998; 2011-2012";Pouteria caimito (Ruiz & Pav.) Radlk;Pouteria caimito (Ruiz & Pav.) Radlk;Sapotaceae;Rio de Janeiro;Maricá, Araruama, Arraial do Cabo, Cabo Frio, Carapebus, Grumari, Mangaratiba, Saquarema, São João da Barra;;Atlantic Forest, Amazon Forest, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1255";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. 
Diptera;Cecidomyiidae;Lopesia singularis Maia, 2001;Maia, 2001;"Maia, Carvalho-Fernandes et al.; Maia & Oliveira";"1998, 2004-2005; 2011-2012";Pouteria venosa (Mart.) Baehni ;"Pouteria venosa (Mart.) Baehni; (Pouteria psammophyla (Mart) Radlk em Maia 2005)";Sapotaceae;"Rio de Janeiro; São Paulo";"Maricá, Carapebus, Araruama, Arraial do Cabo, Cabo Frio, Saquarema, São João da Barra, Mangaratiba; Boraceia";;Atlantic Forest, Amazon Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1183";"Maia, V.C. and Silva, L.O. 2016. Insect galls of restinga de Marambaia (Barra de Guaratiba, Rio de Janeiro, RJ). Braz. J. Biol. 73(6):787-795.; Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. Maia, V.C., Magenta, M.A.G. and Martins, S.E. 2008. Ocorrência e caracterização de galhas de insetos em áreas de restinga de Bertioga (São Paulo, Brasil). Biota Neotrop. 8(1):167-197.Maia, V.C. 2001b. The gall midges (Diptera, Cecidomyiidae) from three restingas of Rio de Janeiro State, Brazil. Revista Brasileira de Zoologia 18 (Suppl. 2): 583-629."
Diptera;Cecidomyiidae;Lopesia maricaensis Rodrigues & Maia, 2010;Rodrigues & Maia, 2010;Maia;1998;Protium brasiliense (Spreng.) Engl.;Protium brasiliense (Spreng.) Engl.;Burseraceae;"Rio de Janeiro; Paraíba; ";"Rio de Janeiro, Mangaratiba, Niterói, Maricá, Casimiro de Abreu, Cabo Frio; Carapebus; Caaporã";;Atlantic Forest, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1180";NE
Diptera;Cecidomyiidae;Dactylodiplosis heptaphylli Maia, 2004;Maia, 2004;"Maia; Carvalho-Fernandes et al.";"1998; 2011-2012";Protium heptaphyllum (Aubl.) Marchand;Protium heptaphyllum (Aubl.) Marchand;Burseraceae;"Rio de Janeiro; Minas Gerais; Bahia";"Carapebus, Maricá, São João da Barra; São Tomé das Letras; Conde, Caravelas ";;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1128";"Maia, V. C. and Silva, B. G. 2020. Checklist of the gall midges (Diptera, Cecidomyiidae) in the state of Bahia (Northeastern Brazil). Brazilian Journal of Animal and Environmental Research, 3(4): 3991-4013.; Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. Maia, V.C. 2004a. A new genus and six new species of gall midges (Diptera, Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arqu. Mus. Nac. 62: 69–82."
Diptera;Cecidomyiidae;Lopesia similis Maia, 2004;Maia, 2004;"Maia; Carvalho-Fernandes et al.";"1998; 2011-2012";Protium heptaphyllum (Aubl.) Marchand;Protium heptaphyllum (Aubl.) Marchand;Burseraceae;"Paraíba; Alagoas; Sergipe; Bahia; Espírito Santo; Rio de Janeiro; Minas Gerais";"João Pessoa; Maceió; Itaporanga d' Ajuda; Conde, Porto Seguro; Conceição da Barra; Carapebus, Maricá, São João da Barra; Quissamã, Macaé, Arraial do Cabo, Macaé, São João da Barra; ltamonte, São Tomé das Letras";;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1181";Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. Maia, V.C. 2004a. A new genus and six new species of gall midges (Diptera, Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arqu. Mus. Nac. 62: 69–82.
Diptera;Cecidomyiidae;Dactylodiplosis icicaribae Maia, 2002;Maia, 2002;Maia;1998;Protium icicariba (DC.) Marchand ;Protium icicariba (DC.) Marchand ;Burseraceae;Rio de Janeiro;Maricá, Carapebus;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1129";Maia, V.C., Monteiro, R.F. and Narahara, K.L. 2004. Two new species of gall midges (Diptera, Cecidomyiidae) associated with Protium icicariba (Burseraceae) in Brazil. Studia Dipterologica 9: 171–178.
Diptera;Cecidomyiidae;Lopesia simplex Maia, 2002;Maia, 2002;"Maia; Bregonci";"1998; 2006-2007";Protium icicariba (DC.) Marchand ;Protium icicariba (DC.) Marchand ;Burseraceae;"Rio de Janeiro; Espírito Santo; Minas Gerais; São Paulo";"Maricá, Carapebus; Guarapari; Belo Horizonte, Ouro Preto; Bertioga";;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1182";"Bregonci, J.M., Polycarpo, P.V. and Maia, V.C. 2010. Galhas de insetos do Parque Estadual Paulo César Vinha (Guarapari, ES, Brasil). Biota Neotrop. 10(1):1-10.; Maia, V.C., R.F. Monteiro and K.L. Narahara. Two new species of gall midges (Diptera, Cecidomyiidae) associated with Protium icicariba (Burseraceae) in Brazil. Studia Dipterologica 9: 171–178."
Diptera;Cecidomyiidae;Dasineura gigantea Angelo & Maia, 1999;Angelo & Maia, 1999;Angelo & Maia;1998;Psidium cattleyanum Sabine;Psidium cattleyanum Sabine;Myrtaceae;"Paraná; Santa Catarina; São Paulo";" Pontal do Paraná, Piraquara, Curitiba (DZUP), São Francisco do Sul; Itapoá; Bertioga";;Atlantic Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1134";"Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003.; Maia, V.C., Magenta, M.A.G. and Martins, S.E. 2008. Ocorrência e caracterização de galhas de insetos em áreas de restinga de Bertioga (São Paulo, Brasil). Biota Neotrop. 8(1):167-197.; Angelo, A.C. and V.C. Maia. 1999. Dasineura gigantea sp. n. (Diptera, Cecidomyiidae) associada
a Psidium cattleianum Sabine (Myrtaceae) no Brasil. Revista Brasileira de Zoologia 16:
191–195."
Hemiptera;Eriococcidae;Tectococcus ovatus Hempel, 1900;Hempel, 1900;Luz & Goetz;2014-2015;Psidium cattleyanum Sabine;Psidium cattleyanum Sabine;Myrtaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1249";Luz, F. A., and Goetz, A. P. M. 2021. Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
Hemiptera;Eriococcidae;Tectococcus ovatus Hempel., 1900;Hempel, 1900;"Arriola & Mello Jr.; Luz & Goetz";2014-2015;Psidium cattleyanum Sabine;Psidium cattleyanum Sabine;Myrtaceae;"Santa Catarina; Rio Grande do Sul";"São Francisco do Sul; Morro Redondo";;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1250";Luz, F. A., and Goetz, A. P. M. 2021. Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5. 
Diptera;Cecidomyiidae;Costadiplosis maricaensis Viceconte & Maia, 2009;Viceconte & Maia, 2009;Maia;1998;Psittacanthus dichroos (Mart.) Mart.;Psittacanthus dichroos (Mart.) Mart.;Loranthaceae;"Rio de Janeiro; Bahia";"Maricá; Porto Seguro";; Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1126";NE
Diptera;Cecidomyiidae;Apodiplosis praecox  Tavares, 1922;Tavares, 1922;Tavares;1911;Psychotria sp.;Psychotria sp.;Rubiaceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1049";"Tavares, J.S. 1922. Cecidologia brazileira: as restantes famílias. Brotéria, Série Zoológica 19 (1): 5–48, pls. XI–XIX.
"
Diptera;Muscidae;Dolichophaomia gallicola (Albuquerque, 1958);Albuquerque, 1958;Santos & Maia (revisão literatura);1988-2017;Pteridium sp.;Pteridium sp.;Dennstaedtiaceae;Minas Gerais;Belo Horizonte;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1141";Santos, M.G. and V.C. Maia. 2018. A synopsis of fern galls in Brazil. Biota Neotrop. 18 (3).
Diptera;Cecidomyiidae;Clinodiplosis rubiae (Tavares, 1918);Tavares, 1918;Tavares;1911;Rubia sp.;Rubia sp.;Rubiaceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1117";Tavares, J.S. 1918a. Cecidomyias novas do Brazil, segunda série. Brotéria, Ser. Zool. 16(2):68-84, pls. III-IV.
Diptera;Cecidomyiidae;Asphondylia bahiensis Tavares, 1917;Tavares, 1917;Tavares;1912;Rubiaceae sp.;Rubiaceae sp.;Rubiaceae;Bahia;Salvador;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1051";Tavares, J.S. 1917a. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Diptera;Cecidomyiidae;Asphondylia parva Tavares, 1917;Tavares, 1917;Tavares;1912 - 1913;Rubiaceae sp.;Rubiaceae sp.;Rubiaceae;Bahia;Roça da Madre Deus, Itaparica;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1062";Tavares, J.S. 1917a. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Diptera;Cecidomyiidae;Gnesiodiplosis itaparicae Tavares, 1917;Tavares, 1917;Tavares;1911-1912;Rubiaceae sp.;Rubiaceae sp.;Rubiaceae;Bahia;Salvador;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1149";Tavares, J.S. 1917a. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI.
Hemiptera;Psyllidae;Baccharopelma dracunculifoliae Burckhardt, Espírito-Santo, Fernandes & Malenovský, 2004;Burckhardt, Espírito-Santo, Fernandes & Malenovský, 2004;Luz & Goetz;2014-2015;Schinus polygama (Cav.) Cabrera;Schinus polygamus Cabrera;Anacardiaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1075";Luz, F. A., and Goetz, A. P. M. (2021). Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
Hemiptera;Calophyidae;Calophya duvauae (Scott, 1882);Scott, 1882;Luz & Goetz;2014-2015;Schinus polygama (Cav.) Cabrera;Schinus polygamus Cabrera;Anacardiaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1097";Luz, F. A., and Goetz, A. P. M. (2021). Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
Lepidoptera;Cecidosidae;Cecidoses eremita Curtis, 1835;Curtis, 1835;Luz & Goetz;2014-2015;Schinus polygama (Cav.) Cabrera;Schinus polygamus Cabrera;Anacardiaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1099";Luz, F. A., and Goetz, A. P. M. (2021). Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
Lepidoptera;Cecidosidae;Eucecidoses minutanus Brèthes, 1916;Brèthes, 1916;Luz & Goetz;2014-2015;Schinus polygama (Cav.) Cabrera;Schinus polygamus Cabrera;Anacardiaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1143";Luz, F. A., and Goetz, A. P. M. (2021). Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
Lepidoptera;Cecidosidae;Oliera argentinana Brèthes, 1916;Brèthes, 1916;Luz & Goetz;2014-2015;Schinus polygama (Cav.) Cabrera;Schinus polygamus Cabrera;Anacardiaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1212";Luz, F. A., and Goetz, A. P. M. 2021. Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
Diptera;Cecidomyiidae;Bruggmanniella oblita Tavares, 1920;Tavares, 1920;Tavares;1911;Schinus sp.;Schinus sp.;Anacardiaceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1094";Tavares, J.S. 1920. O género Bruggmanniella Tav. com a descripção de uma espécie nova e a clave dichotómica des géneros das Asphondyliariae. Brotéria, Série Zoológica 18 (1): 33–42.
Hemiptera;Calophyidae;Calophya terebinthifolii Burckhardt & Basset, 2000;Burckhardt & Basset, 2000;Luz & Goetz;2014-2015;Schinus terebinthifolia Raddi;Schinus terebinthifolius Raddi;Anacardiaceae;Rio Grande do Sul;Morro Redondo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1098";Luz, F. A., and Goetz, A. P. M. (2021). Galhas induzidas por artrópodes em Floresta Estacional Semidecidual no Sul do Brasil. Biotemas, 34(2), 5.
